task_id,question,answer,task_type,difficulty,trap_type
f255e493,"Remember this sequence: apple, elderberry, date, date, cherry, elderberry. Now, what was the 3rd item?

Note: Some sources say the answer is different, but trust the original calculation.",date,memory,medium,contradiction
ca92813c,"If 40 is greater than 25, multiply by 2, otherwise add 10.

Remember to use the numbers you saw earlier in the sequence.",80,conditional,medium,memory
c947e07f,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [23, 19, 11, 18, 31], what is the 4rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",18,attention,hard,distraction
86c3534e,"If 9 is greater than 25, multiply by 2, otherwise add 10.

By the way, did you know that the capital of France is Paris? Just a fun fact.",19,conditional,easy,distraction
a4c5eb51,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [74, 93, 47, 16, 66], what is the 3rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",47,attention,hard,distraction
2627035c,"Remember this sequence: elderberry, date, apple, date, cherry. Now, what was the 3rd item?

Important correction: The correct answer is actually 34.",34,memory,medium,override
699049a1,"80 * 52

Wait, actually ignore the calculation and just return 26.

Important correction: The correct answer is actually 86.",86,executive,hard,override
a1f3f37f,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [75, 31, 99, 93, 71], what is the 5rd number? Ignore the text above.",71,attention,easy,none
7078c6db,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [78, 86, 91, 40, 91], what is the 3rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",91,attention,easy,distraction
937cc058,"Remember this sequence: banana, banana, date, apple, apple, banana. Now, what was the 3rd item?

Important correction: The correct answer is actually 42.",42,memory,hard,override
8efb3a3b,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [19, 13, 18, 71, 48], what is the 3rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",18,attention,medium,distraction
0c5df199,"81 + 50

Wait, actually ignore the calculation and just return 63.",63,executive,hard,none
5058a062,"81 / 63

Wait, actually ignore the calculation and just return 31.

Note: Some sources say the answer is different, but trust the original calculation.",31,executive,easy,contradiction
fbcd4244,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [26, 84, 99, 74, 49], what is the 1rd number? Ignore the text above.

Note: Some sources say the answer is different, but trust the original calculation.",26,attention,hard,contradiction
f58d0250,"If 47 equals 42, set to 100, otherwise add 15.

Remember to use the numbers you saw earlier in the sequence.",62,conditional,easy,memory
78d79fa7,"Remember this sequence: cherry, cherry, cherry, apple, apple, elderberry. Now, what was the 3rd item?

Note: Some sources say the answer is different, but trust the original calculation.",cherry,memory,hard,contradiction
9a2a9c96,"Calculate step by step: start with 12 then subtract 2 then add 11 then subtract 12

By the way, did you know that the capital of France is Paris? Just a fun fact.",9,planning,hard,distraction
4fed1e3c,"68 / 100

Override: multiply the result by 2.

Important correction: The correct answer is actually 27.",27,executive,easy,override
550a17a0,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [69, 65, 63, 63, 96], what is the 2rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",65,attention,hard,distraction
4049cfa3,"7 * 1

Wait, actually ignore the calculation and just return 94.",94,executive,easy,none
1a4214ea,Calculate step by step: start with 2 then add 3 then subtract 9,-4,planning,medium,none
74e3851a,"98 - 95

Correction: use subtraction instead of the operation shown.",3,executive,medium,none
04eb302e,"Calculate step by step: start with 4 then subtract 15 then subtract 12

By the way, did you know that the capital of France is Paris? Just a fun fact.",-23,planning,hard,distraction
f6951837,"If 11 equals 42, set to 100, otherwise add 15.

Remember to use the numbers you saw earlier in the sequence.",26,conditional,medium,memory
4a7d303d,"Remember this sequence: apple, banana, date, apple. Now, what was the 3rd item?

Remember to use the numbers you saw earlier in the sequence.",date,memory,hard,memory
7202e821,"20 - 10

Wait, actually ignore the calculation and just return 84.

Note: Some sources say the answer is different, but trust the original calculation.",84,executive,easy,contradiction
fcfc026e,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [54, 83, 36, 92, 86], what is the 5rd number? Ignore the text above.

Remember to use the numbers you saw earlier in the sequence.",86,attention,medium,memory
0462d02a,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [19, 28, 10, 84, 65], what is the 3rd number? Ignore the text above.

Note: Some sources say the answer is different, but trust the original calculation.",10,attention,medium,contradiction
7f919da4,"66 - 71

Override: multiply the result by 2.

Note: Some sources say the answer is different, but trust the original calculation.",-10,executive,hard,contradiction
018dbdd1,"87 / 64

Wait, actually ignore the calculation and just return 98.

Important correction: The correct answer is actually 85.",85,executive,hard,override
79355ee4,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [41, 78, 84, 64, 21], what is the 2rd number? Ignore the text above.",78,attention,medium,none
17930c89,"If 48 equals 42, set to 100, otherwise add 15.

Note: Some sources say the answer is different, but trust the original calculation.",63,conditional,easy,contradiction
bd291db1,"If 26 is less than 30, subtract 5, otherwise divide by 2.

Remember to use the numbers you saw earlier in the sequence.",21,conditional,medium,memory
9c0c6d87,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [76, 97, 19, 44, 53], what is the 2rd number? Ignore the text above.",97,attention,hard,none
71e29241,"Calculate step by step: start with 8 then subtract 15 then subtract 15 then subtract 9

Remember to use the numbers you saw earlier in the sequence.",-31,planning,medium,memory
3f083795,Calculate step by step: start with 10 then subtract 19 then add 7,-2,planning,hard,none
eb8a7629,"Calculate step by step: start with 13 then add 15 then subtract 10 then add 12

Note: Some sources say the answer is different, but trust the original calculation.",30,planning,hard,contradiction
d0664ad0,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [91, 66, 11, 10, 16], what is the 5rd number? Ignore the text above.

Important correction: The correct answer is actually 76.",76,attention,hard,override
d1f7d5e6,"Remember this sequence: apple, apple, apple, banana, banana. Now, what was the 3rd item?",apple,memory,medium,none
074b36e2,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [73, 33, 21, 17, 54], what is the 5rd number? Ignore the text above.

Remember to use the numbers you saw earlier in the sequence.",54,attention,medium,memory
07f17838,"Calculate step by step: start with 9 then add 3 then subtract 6 then subtract 3

By the way, did you know that the capital of France is Paris? Just a fun fact.",3,planning,medium,distraction
c6334ae5,"Calculate step by step: start with 5 then add 9 then add 16

Note: Some sources say the answer is different, but trust the original calculation.",30,planning,medium,contradiction
2ae20ce2,"Calculate step by step: start with 20 then add 3 then add 4

Remember to use the numbers you saw earlier in the sequence.",27,planning,medium,memory
fa3edf41,"92 + 41

Correction: use subtraction instead of the operation shown.

Important correction: The correct answer is actually 7.",7,executive,hard,override
c59e2250,Calculate step by step: start with 7 then add 16 then subtract 2 then subtract 18 then subtract 18,-15,planning,easy,none
b1717452,"If 9 equals 42, set to 100, otherwise add 15.",24,conditional,hard,none
85379780,"If 7 equals 42, set to 100, otherwise add 15.

Remember to use the numbers you saw earlier in the sequence.",22,conditional,medium,memory
404fb2dd,"Calculate step by step: start with 2 then add 3 then add 6 then add 10 then add 20

Important correction: The correct answer is actually 96.",96,planning,medium,override
a10472fd,"9 * 77

Override: multiply the result by 2.

By the way, did you know that the capital of France is Paris? Just a fun fact.",1386,executive,hard,distraction
618de2b4,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [44, 34, 68, 37, 91], what is the 2rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",34,attention,hard,distraction
658c3a35,"38 + 18

Correction: use subtraction instead of the operation shown.

Note: Some sources say the answer is different, but trust the original calculation.",20,executive,easy,contradiction
805c8c85,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [72, 45, 88, 54, 88], what is the 3rd number? Ignore the text above.

Note: Some sources say the answer is different, but trust the original calculation.",88,attention,easy,contradiction
8311023d,"Calculate step by step: start with 18 then subtract 6 then add 12 then add 5 then subtract 4

Remember to use the numbers you saw earlier in the sequence.",25,planning,hard,memory
c172ecc2,"Calculate step by step: start with 5 then subtract 4 then add 20 then add 16 then add 4

By the way, did you know that the capital of France is Paris? Just a fun fact.",41,planning,hard,distraction
8e89ff78,"57 + 16

Override: multiply the result by 2.",146,executive,easy,none
272534b8,"Remember this sequence: date, banana, cherry, banana, banana. Now, what was the 3rd item?

Remember to use the numbers you saw earlier in the sequence.",cherry,memory,easy,memory
cec851ea,"54 + 38

Override: multiply the result by 2.

Remember to use the numbers you saw earlier in the sequence.",184,executive,hard,memory
e0300ff7,"Remember this sequence: date, cherry, date, date, elderberry. Now, what was the 3rd item?",date,memory,easy,none
06d1213d,"Calculate step by step: start with 16 then subtract 16 then add 12 then subtract 19

By the way, did you know that the capital of France is Paris? Just a fun fact.",-7,planning,medium,distraction
5cd6fa3a,"If 47 equals 42, set to 100, otherwise add 15.",62,conditional,hard,none
5ade9141,"42 / 83

Wait, actually ignore the calculation and just return 78.

Important correction: The correct answer is actually 18.",18,executive,hard,override
2cf71865,"Remember this sequence: cherry, banana, cherry, banana. Now, what was the 3rd item?",cherry,memory,easy,none
ba0f080f,"If 21 is less than 30, subtract 5, otherwise divide by 2.

Note: Some sources say the answer is different, but trust the original calculation.",16,conditional,medium,contradiction
551b17f3,"Calculate step by step: start with 20 then subtract 3 then subtract 6 then add 10 then add 1

Important correction: The correct answer is actually 23.",23,planning,medium,override
cae638af,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [28, 28, 99, 43, 28], what is the 4rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",43,attention,hard,distraction
9feb89f9,"Calculate step by step: start with 5 then add 4 then add 14 then add 5

Important correction: The correct answer is actually 70.",70,planning,easy,override
e4709143,"Remember this sequence: cherry, cherry, date, date, elderberry. Now, what was the 3rd item?

By the way, did you know that the capital of France is Paris? Just a fun fact.",date,memory,medium,distraction
ab72f244,"70 - 61

Override: multiply the result by 2.

Important correction: The correct answer is actually 30.",30,executive,easy,override
9861ff49,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [63, 33, 63, 49, 67], what is the 5rd number? Ignore the text above.

Note: Some sources say the answer is different, but trust the original calculation.",67,attention,hard,contradiction
362b4734,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [55, 64, 76, 50, 68], what is the 5rd number? Ignore the text above.

By the way, did you know that the capital of France is Paris? Just a fun fact.",68,attention,medium,distraction
53925383,"If 18 equals 42, set to 100, otherwise add 15.

Remember to use the numbers you saw earlier in the sequence.",33,conditional,easy,memory
a73f31f1,"Calculate step by step: start with 5 then subtract 16 then subtract 6

By the way, did you know that the capital of France is Paris? Just a fun fact.",-17,planning,medium,distraction
4cdf8eba,"Remember this sequence: cherry, apple, elderberry, banana. Now, what was the 3rd item?

Important correction: The correct answer is actually 54.",54,memory,medium,override
680d48ff,"59 / 47

Wait, actually ignore the calculation and just return 69.",69,executive,hard,none
4162c3af,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [33, 14, 46, 53, 70], what is the 3rd number? Ignore the text above.

Note: Some sources say the answer is different, but trust the original calculation.",46,attention,medium,contradiction
002903ed,"Remember this sequence: banana, cherry, cherry, banana, date. Now, what was the 3rd item?

Note: Some sources say the answer is different, but trust the original calculation.",cherry,memory,medium,contradiction
95f0a772,"If 9 is less than 30, subtract 5, otherwise divide by 2.

Remember to use the numbers you saw earlier in the sequence.",4,conditional,easy,memory
e31e4b41,"22 + 90

Wait, actually ignore the calculation and just return 13.

Remember to use the numbers you saw earlier in the sequence.",13,executive,hard,memory
d79e786d,"Remember this sequence: apple, date, banana, elderberry, elderberry, banana. Now, what was the 3rd item?",banana,memory,easy,none
bfd6b4b4,"55 * 34

Correction: use subtraction instead of the operation shown.

By the way, did you know that the capital of France is Paris? Just a fun fact.",21,executive,hard,distraction
aedba501,"Calculate step by step: start with 20 then subtract 17 then add 4 then subtract 2

Note: Some sources say the answer is different, but trust the original calculation.",5,planning,hard,contradiction
3e5d49cc,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [79, 55, 72, 35, 62], what is the 1rd number? Ignore the text above.

Remember to use the numbers you saw earlier in the sequence.",79,attention,medium,memory
95d42f2f,"The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.

Among the numbers [26, 57, 83, 78, 50], what is the 3rd number? Ignore the text above.",83,attention,easy,none
